player_id,footballer_name,year,age,team,country,comp_level,lg_finish,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,progressive_passes_received,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,matches
f0f7f62f,Pierluigi-Gollini,2014-2015,19,Hellas Verona,it ITA,1. Serie A,13e,3,3,270,3.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matchs
f0f7f62f,Pierluigi-Gollini,2015-2016,20,Hellas Verona,it ITA,1. Serie A,20e,26,25,"2,320",25.8,0,0,0,0,0,0,2,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matchs
f0f7f62f,Pierluigi-Gollini,2016-2017,21,Aston Villa,eng ENG,2. Championship,13e,20,20,"1,755",19.5,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matchs
f0f7f62f,Pierluigi-Gollini,2016-2017,21,Atalanta,it ITA,1. Serie A,4e,4,4,360,4.0,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matchs
f0f7f62f,Pierluigi-Gollini,2017-2018,22,Atalanta,it ITA,1. Serie A,7e,7,7,622,6.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matchs
f0f7f62f,Pierluigi-Gollini,2018-2019,23,Atalanta,it ITA,1. Serie A,3e,20,20,"1,799",20.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matchs
f0f7f62f,Pierluigi-Gollini,2019-2020,24,Atalanta,it ITA,1. Serie A,3e,33,33,"2,884",32.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matchs
f0f7f62f,Pierluigi-Gollini,2020-2021,25,Atalanta,it ITA,1. Serie A,3e,25,25,"2,156",24.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matchs
f0f7f62f,Pierluigi-Gollini,2021-2022,26,Tottenham,eng ENG,1. Premier League,4e,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matchs
f0f7f62f,Pierluigi-Gollini,2022-2023,27,Fiorentina,it ITA,1. Serie A,8e,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matchs
f0f7f62f,Pierluigi-Gollini,2022-2023,27,Napoli,it ITA,1. Serie A,1er,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matchs
d19ef4ef,Alessio-Zerbin,2016-2017,17,Napoli,it ITA,1. Serie A,3e,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matchs
d19ef4ef,Alessio-Zerbin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d19ef4ef,Alessio-Zerbin,2021-2022,22,Frosinone,it ITA,2. Serie B,9e,31,26,"2,069",23.0,9,3,12,9,0,0,6,0,,,,,,,,0.39,0.13,0.52,0.39,0.52,,,,,,Matchs
d19ef4ef,Alessio-Zerbin,2022-2023,23,Napoli,it ITA,1. Serie A,1er,10,2,198,2.2,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,5,6,20,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.12,0.12,0.12,Matchs
61b3978f,Bartosz-Bereszynski,2009-2010,17,Lech Poznań,pl POL,1. Ekstraklasa,1er,2,0,9,0.1,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
61b3978f,Bartosz-Bereszynski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61b3978f,Bartosz-Bereszynski,2012-2013,20,Lech Poznań,pl POL,1. Ekstraklasa,2e,11,4,493,5.5,1,0,1,1,0,0,1,0,,,,,,,,0.18,0.00,0.18,0.18,0.18,,,,,,Matchs
61b3978f,Bartosz-Bereszynski,2012-2013,20,Legia Warsaw,pl POL,1. Ekstraklasa,1er,12,9,846,9.4,0,0,0,0,0,0,3,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matchs
61b3978f,Bartosz-Bereszynski,2013-2014,21,Legia Warsaw,pl POL,1. Ekstraklasa,1er,18,17,"1,544",17.2,1,0,1,1,0,0,2,1,,,,,,,,0.06,0.00,0.06,0.06,0.06,,,,,,Matchs
61b3978f,Bartosz-Bereszynski,2014-2015,22,Legia Warsaw,pl POL,1. Ekstraklasa,2e,16,14,"1,296",14.4,0,0,0,0,0,0,2,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matchs
61b3978f,Bartosz-Bereszynski,2015-2016,23,Legia Warsaw,pl POL,1. Ekstraklasa,1er,16,8,770,8.6,0,1,1,0,0,0,0,0,,,,,,,,0.00,0.12,0.12,0.00,0.12,,,,,,Matchs
61b3978f,Bartosz-Bereszynski,2016-2017,24,Legia Warsaw,pl POL,1. Ekstraklasa,1er,11,11,990,11.0,0,2,2,0,0,0,4,0,,,,,,,,0.00,0.18,0.18,0.00,0.18,,,,,,Matchs
61b3978f,Bartosz-Bereszynski,2016-2017,24,Sampdoria,it ITA,1. Serie A,10e,13,11,"1,051",11.7,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matchs
61b3978f,Bartosz-Bereszynski,2017-2018,25,Sampdoria,it ITA,1. Serie A,10e,31,28,"2,480",27.6,0,1,1,0,0,0,5,0,0.1,0.1,1.0,1.1,40,118,64,0.00,0.04,0.04,0.00,0.04,0.00,0.04,0.04,0.00,0.04,Matchs
61b3978f,Bartosz-Bereszynski,2018-2019,26,Sampdoria,it ITA,1. Serie A,9e,27,24,"2,200",24.4,0,2,2,0,0,0,6,1,0.3,0.3,0.7,1.0,51,150,97,0.00,0.08,0.08,0.00,0.08,0.01,0.03,0.04,0.01,0.04,Matchs
61b3978f,Bartosz-Bereszynski,2019-2020,27,Sampdoria,it ITA,1. Serie A,15e,28,27,"2,402",26.7,0,0,0,0,0,0,10,0,0.4,0.4,0.5,0.9,49,117,71,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Matchs
61b3978f,Bartosz-Bereszynski,2020-2021,28,Sampdoria,it ITA,1. Serie A,9e,31,29,"2,607",29.0,1,0,1,1,0,0,2,0,0.2,0.2,0.7,0.8,42,103,81,0.03,0.00,0.03,0.03,0.03,0.01,0.02,0.03,0.01,0.03,Matchs
61b3978f,Bartosz-Bereszynski,2021-2022,29,Sampdoria,it ITA,1. Serie A,15e,35,35,"2,946",32.7,0,3,3,0,0,0,12,0,0.5,0.5,1.8,2.3,52,105,108,0.00,0.09,0.09,0.00,0.09,0.01,0.05,0.07,0.01,0.07,Matchs
61b3978f,Bartosz-Bereszynski,2022-2023,30,Sampdoria,it ITA,1. Serie A,20e,15,15,"1,198",13.3,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,20,44,40,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,Matchs
